site,inlet,month,basis_training_sites,basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr,n_splits,actual_regions,actual_regions_min,actual_regions_max,candidate
TAC,185m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.17025771377551122,1.098592550442579e-08,-8.309686641048129e-09,0.9547412073749403,3,250.0,250,250,single_class/axis_parallel/balanced/row_column/contrast
TAC,185m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,0.1718433619674117,1.100919390070525e-08,-8.195894718516649e-09,0.9515760216169967,3,250.0,250,250,single_class/axis_parallel/balanced/row_column
TAC,185m,January,"TAC,MHD",region_constrained,selected_countries,weight,inertial,balanced,row_column,full_domain,none,,250,0.0446179969093173,2.4036505811778735e-09,-6.625377804172346e-10,0.9912360840703767,3,250.0,250,250,weight/inertial/balanced/row_column
TAC,185m,January,"TAC,MHD",region_constrained,selected_countries,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.04494425113186177,2.427002633189219e-09,-7.001687043663442e-10,0.9909533217072587,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
TAC,185m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.09272889461276075,5.362462446960215e-09,-2.552906876473266e-09,0.9783360224644057,3,250.0,250,250,weight/axis_parallel/balanced/row_column
TAC,185m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.09300197302140238,5.3806760392271575e-09,-2.5843584255799436e-09,0.9783353849486337,3,240.0,236,248,weight/axis_parallel/balanced/row_column/contrast
TAC,185m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.1074275473975828,6.128880792747748e-09,-3.842297850661992e-09,0.9758756800549202,3,236.0,230,239,weight/axis_parallel/balanced/lat_lon_metres/contrast
TAC,185m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.10785388781250432,6.1627356607442444e-09,-3.930998067488574e-09,0.9760757259304603,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",bucketbasisfunction,fixed_outer,legacy,bucketbasisfunction,legacy,row_column,fixed_outer,none,,250,0.09874966481897025,5.780621678356465e-09,9.521824466220232e-10,0.986403337779929,3,256.0,255,257,fixed_outer/weighted/bucket
TAC,185m,July,"TAC,MHD",quadtreebasisfunction,fixed_outer,legacy,quadtreebasisfunction,legacy,row_column,fixed_outer,none,,250,0.10384364197483503,6.086401310384563e-09,9.064811768666579e-10,0.9844815020516804,3,255.0,253,256,fixed_outer/quadtree
TAC,185m,July,"TAC,MHD",bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,0.06593378835160131,3.999851489219584e-09,3.574191059611988e-10,0.9876005151539617,3,249.66666666666666,249,250,weighted/bucket
TAC,185m,July,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.08419151682081905,5.2693810706137244e-09,-2.297908088274256e-09,0.9856261885406202,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,0.09264945972664694,5.776140070964259e-09,-2.300059772472584e-09,0.980601431389155,3,250.0,250,250,weight/inertial/balanced/row_column
TAC,185m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.1641546105317713,9.224686437588337e-09,-5.05475566404547e-09,0.9409753862823903,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
TAC,185m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.17129489964728642,9.723573613191183e-09,-5.030537459805361e-09,0.9336287078833277,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.17810839504623735,1.014908358674465e-08,-5.603217711730694e-09,0.9356725298713878,3,250.0,250,250,weight/axis_parallel/balanced/row_column/contrast
TAC,185m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.1858865488910377,1.06874120654436e-08,-5.47826312273918e-09,0.9242823987624876,3,250.0,250,250,weight/axis_parallel/balanced/row_column
TAC,185m,July,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,row_column,full_domain,none,,250,0.0822198970846117,4.951004413137078e-09,4.845104728557979e-10,0.9858468520080764,3,250.0,250,250,single_class/inertial/balanced/row_column
TAC,185m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.08304246660573167,4.930293641873279e-09,-3.934278379227231e-10,0.9829697257606894,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres/contrast
