matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,91,2.344407386443173e-10,0.0038752658276603536,8.854982937754641e-06,0.9997980392247866
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,92,2.307417596606007e-10,0.003814122329581811,8.577761509150267e-06,0.9998066169862958
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,93,2.2905347955521456e-10,0.0037862153444829126,8.452698020361545e-06,0.9998150696843161
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,94,2.2499795430734035e-10,0.003719178196855833,8.156027954789385e-06,0.9998232257122709
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,95,2.2231212990629288e-10,0.0036747819729714398,7.962471405540435e-06,0.9998311881836764
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,96,2.177797675157863e-10,0.0035998627878841135,7.641113072041625e-06,0.9998388292967485
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,97,2.1486829144156305e-10,0.0035517365799403408,7.438172186170499e-06,0.9998462674689347
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,98,2.133957770711677e-10,0.00352739616601173,7.336572410993222e-06,0.9998536040413457
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,99,2.092298101876087e-10,0.003458533436793349,7.052915631903085e-06,0.9998606569569776
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,100,2.0743891031092594e-10,0.00342893016420087,6.932693680723426e-06,0.9998675896506584
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,101,2.0273058086234386e-10,0.0033511022733532002,6.621556606105545e-06,0.9998742112072645
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,102,1.9854483301748077e-10,0.0032819125681842086,6.350950756546284e-06,0.9998805621580211
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,103,1.9509139855111926e-10,0.003224827879520694,6.131938786764514e-06,0.9998866940968079
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,104,1.89127452933355e-10,0.003126244865390156,5.762762403508824e-06,0.9998924568592112
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,105,1.8544692234004693e-10,0.0030654063160903073,5.540651406008251e-06,0.9998979975106174
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,106,1.8254812677850816e-10,0.003017489714880277,5.3687889039430656e-06,0.9999033662995213
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,107,1.769125610936109e-10,0.002924334765597545,5.042418714372101e-06,0.9999084087182357
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,108,1.710890616681602e-10,0.00282807330331352,4.71591594241942e-06,0.9999131246341781
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,109,1.703924271238065e-10,0.0028165580519126216,4.6775899209039745e-06,0.999917802224099
